Time,Raw.Pin 17,Raw.Pin 18,Raw.Pin 19,Raw.Pin 20,Raw.Pin 21,Raw.Pin 22,Raw.Pin 23,Raw.Pin 24,Raw.Pin 25,Raw.Pin 26,Raw.Pin 27,Raw.Pin 28,Raw.Pin 29,Raw.Pin 30,Raw.Pin 31,Raw.Pin 32,Voltage.1,Voltage.2,Voltage.3,Voltage.4,Voltage.5,Voltage.6,Voltage.7,Voltage.8,Voltage.9,Voltage.10,Voltage.11,Voltage.12,Voltage.13,Voltage.14,Voltage.15,Voltage.16
s,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
0.024,0.00366211,0.000610352,-0.000915527,0.00274658,0.00213623,0.00152588,0.00305176,0.00183105,0.0012207,0.000305176,0,0.00152588,0.00457764,0.000305176,0.00152588,0.000305176,0.0145748,0.0152415,0.0121761,0.0140986,0.0106715,0.0188183,0.0114618,0.0148574,0.0213192,0.0179695,0.0159245,0.0106274,0.0133086,0.0134572,0.0114003,0.0140953
0.025,0.00305176,-0.000305176,0.00152588,0.00213623,0.00335693,0.0012207,0,0.00305176,0.000610352,0.00274658,-0.00244141,0.000610352,0.0012207,0.00366211,0.00305176,0.00396729,0.0150325,0.0156993,0.0127864,0.013183,0.00853531,0.0169873,0.0119196,0.0131789,0.0168942,0.018885,0.0163822,0.0136792,0.0136138,0.0142202,0.00987442,0.0121117
0.026,0.00335693,0.00152588,0,-0.000610352,0.00244141,0.00274658,0.0012207,0.00488281,0.000915527,-0.000915527,0.00183105,0.00366211,0.00244141,0.00305176,0.0012207,0.0012207,0.0159481,0.0146312,0.0123287,0.0159296,0.0125026,0.0179028,0.00947815,0.0122634,0.0158261,0.0173591,0.0177555,0.0136792,0.0162078,0.0140676,0.0127736,0.0124168
0.027,0.00152588,-0.000610352,0.00244141,0.000610352,0.00549316,-0.00183105,0.00396729,0.00366211,0.00518799,0.0012207,0.00244141,0.000305176,0.00244141,0.0012207,0.00183105,0.000610352,0.0161006,0.0164622,0.0120235,0.0124201,0.0109767,0.0168347,0.0120721,0.0140944,0.0161313,0.0170539,0.0166874,0.013374,0.01575,0.0137624,0.0112477,0.0121117
0.028,0.00335693,0.000610352,0.00274658,0.0012207,0.00244141,0.00152588,0.00305176,0.00213623,0.00488281,0.000305176,0.000610352,0.00183105,0.00335693,0.00305176,0.00213623,-0.000610352,0.0148799,0.011732,0.0115657,0.0130304,0.0114345,0.0188183,0.0114618,0.011653,0.0171994,0.0176643,0.0156193,0.0124585,0.0159026,0.0133046,0.0117055,0.0133324
0.029,0.000915527,0.000610352,0,0.00305176,0.00274658,0.000915527,0.00335693,0.00213623,0.00183105,0.00152588,0.0012207,0.000305176,0.00183105,0.00244141,0.00274658,0.00305176,0.0156429,0.0155467,0.0133968,0.0136408,0.00975601,0.0169873,0.0129877,0.0145522,0.0138424,0.0172065,0.0145512,0.0126111,0.0189543,0.0142202,0.0112477,0.0122642
0.03,0.00305176,0,0.00396729,0.0012207,0.0012207,0.00244141,0.00366211,0.00335693,0.00213623,0.000305176,-0.000915527,0,0.00396729,0.00335693,0.000610352,0.00244141,0.0157955,0.0156993,0.0133968,0.0134882,0.0112819,0.0171399,0.0111566,0.0130263,0.0164364,0.0176643,0.0156193,0.0136792,0.01575,0.0146779,0.00987442,0.0122642
0.031,0.00335693,0.00152588,0,0.00152588,0.00366211,0.00213623,0.000915527,0.0012207,0.00152588,0.00183105,0.0012207,0.00152588,0.0012207,0.00396729,0.00427246,0.00335693,0.0161006,0.014326,0.0117183,0.0130304,0.0117397,0.0172925,0.0120721,0.0165358,0.0176571,0.0173591,0.0148564,0.01078,0.0168181,0.0149831,0.0146046,0.0118065
0.032,0.00152588,0.000915527,0.00213623,-0.000610352,0.00274658,-0.00213623,0.00335693,0.000305176,0.00488281,-0.000610352,0.000305176,0.00213623,0.00549316,0.00335693,0.00427246,0.00335693,0.0147274,0.0138682,0.0138546,0.0121149,0.0117397,0.0177502,0.0122247,0.0122634,0.0164364,0.0181221,0.0162297,0.0129163,0.0180388,0.0119313,0.0121632,0.0110435
0.033,0.00396729,0.00152588,0.000610352,0.000305176,0.00183105,0.00183105,0.00366211,0.00183105,0.00213623,-0.000915527,0.0012207,0.00152588,0.00213623,0.00183105,0.000915527,0.00183105,0.0148799,0.0163096,0.016296,0.0133356,0.0134181,0.0145459,0.0100885,0.014247,0.0176571,0.0194953,0.0153141,0.0129163,0.0162078,0.0146779,0.0104848,0.010891
